--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,
1,2021,NFL,1,21,IND,Kwity Paye\PayeKw00,DL,College Stats
2,2021,NFL,3,68,ATL,Jalen Mayfield\MayfJa00,OL,College Stats
3,2021,NFL,3,89,HOU,Nico Collins\CollNi00,WR,College Stats
4,2021,NFL,3,102,SFO,Ambry Thomas\ThomAm00,DB,College Stats
5,2021,NFL,5,177,NWE,Cameron McGrone\McGrCa00,LB,College Stats
6,2021,NFL,6,202,CIN,Chris Evans\EvanCh02,RB,College Stats
7,2020,NFL,1,24,NOR,Cesar Ruiz\RuizCe00,C,College Stats
8,2020,NFL,2,60,NWE,Josh Uche\UcheJo00,LB,College Stats
9,2020,NFL,4,143,BAL,Ben Bredeson\BredBe00,G,College Stats
10,2020,NFL,5,162,WAS,Khaleke Hudson\HudsKh00,LB,College Stats
11,2020,NFL,5,177,KAN,Michael Danna\DannMi00,DE,College Stats
12,2020,NFL,6,182,NWE,Michael Onwenu\OnweMi00,G,College Stats
13,2020,NFL,6,187,CLE,Donovan Peoples-Jones\PeopDo00,WR,College Stats
14,2020,NFL,6,192,GNB,Jon Runyan\RunyJo00,T,College Stats
15,2020,NFL,6,205,MIN,Josh Metellus\MeteJo00,S,College Stats
16,2020,NFL,6,213,IND,Jordan Glasgow\GlasJo00,LB,College Stats
17,2019,NFL,1,10,PIT,Devin Bush Jr.\BushDe01,LB,College Stats
18,2019,NFL,1,12,GNB,Rashan Gary\GaryRa00,LB,College Stats
19,2019,NFL,3,77,NWE,Chase Winovich\WinoCh00,DE,College Stats
20,2019,NFL,3,79,LAR,David Long\LongDa02,CB,College Stats
21,2019,NFL,5,141,PIT,Zach Gentry\GentZa00,TE,College Stats
22,2018,NFL,3,97,ARI,Mason Cole\ColeMa02,C,College Stats
23,2018,NFL,5,140,OAK,Maurice Hurst Jr.\HursMa00,DT,College Stats
24,2017,NFL,1,25,CLE,Jabrill Peppers\PeppJa00,S,College Stats
25,2017,NFL,1,28,DAL,Taco Charlton\CharTa00,DE,College Stats
26,2017,NFL,3,74,BAL,Chris Wormley\WormCh00,DE,College Stats
27,2017,NFL,3,92,DAL,Jourdan Lewis\LewiJo01,CB,College Stats
28,2017,NFL,3,95,SEA,Lano Hill\HillDe02,S,College Stats
29,2017,NFL,3,106,SEA,Amara Darboh\DarbAm00,WR,College Stats
30,2017,NFL,4,120,MIN,Ben Gedeon\GedeBe00,ILB,College Stats
31,2017,NFL,4,138,CIN,Ryan Glasgow\GlasRy00,DT,College Stats
32,2017,NFL,4,139,KAN,Jehu Chesson\ChesJe00,WR,College Stats
33,2017,NFL,5,145,DEN,Jake Butt\ButtJa00,TE,College Stats
34,2017,NFL,6,197,NYJ,Jeremy Clark\ClarJe04,CB,College Stats
35,2016,NFL,3,95,DET,Graham Glasgow\GlasGr00,C,College Stats
36,2016,NFL,4,132,BAL,Willie Henry\HenrWi00,DT,College Stats
37,2016,NFL,6,191,DET,Jake Rudock\RudoJa00,QB,College Stats
38,2015,NFL,2,41,CAR,Devin Funchess\FuncDe00,TE,College Stats
39,2015,NFL,2,63,SEA,Frank Clark\ClarFr01,DE,College Stats
40,2015,NFL,4,129,GNB,Jake Ryan\RyanJa00,OLB,College Stats
41,2014,NFL,1,11,TEN,Taylor Lewan\LewaTa00,T,College Stats
42,2014,NFL,3,95,DEN,Michael Schofield\SchoMi00,OL,College Stats
43,2014,NFL,7,244,NWE,Jeremy Gallon\GallJe00,WR,College Stats
44,2013,NFL,5,135,JAX,Denard Robinson\RobiDe00,WR,College Stats
45,2013,NFL,6,178,NYJ,William Campbell\CampWi00,OL,College Stats
46,2012,NFL,3,82,TEN,Mike Martin\MartMi01,DT,College Stats
